TIME,2014,2015,2016,2017,2018,2019,2020,2021
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",23876.84,25821.56,25065.28,26901.96,27334.12,24957.24,25389.4,30143.16
Ankara,26361.76,27766.28,28522.56,28522.56,27334.12,27118.04,27766.28,29819.04
"Konya, Karaman",14909.52,15989.92,15881.88,16530.12,16314.04,15881.88,16422.08,16962.28
"Antalya, Isparta, Burdur",20527.6,21391.92,19123.08,20095.44,21608.0,21499.96,16530.12,19663.28
"Adana, Mersin",13829.12,15017.56,15233.64,15665.8,15341.68,15125.6,15665.8,17286.4
"Hatay, Kahramanmaras, Osmaniye",11236.16,12208.52,12532.64,13288.92,13288.92,12316.56,12424.6,14693.44
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",13072.84,14477.36,14045.2,14801.48,14585.4,13937.16,14153.24,15125.6
"Kayseri, Sivas, Yozgat",14477.36,15449.72,15665.8,15989.92,15449.72,14909.52,15449.72,16638.16
"Zonguldak, Karabük, Bartin",14261.28,14585.4,14477.36,15881.88,15989.92,13829.12,14477.36,17178.36
"Kastamonu, Çankiri, Sinop",13613.04,14585.4,14693.44,14801.48,14153.24,13937.16,15017.56,15989.92
"Samsun, Tokat, Çorum, Amasya",11992.44,13288.92,13288.92,13396.96,12640.68,12424.6,12748.72,12856.76
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",12640.68,14585.4,13613.04,13937.16,13288.92,13396.96,13505.0,13396.96
"Erzurum, Erzincan, Bayburt",12100.48,12856.76,13288.92,13937.16,13288.92,13072.84,13613.04,13937.16
"Agri, Kars, Igdir, Ardahan",7562.8,8535.16,8967.32,9291.44,8859.28,8859.28,9507.52,9399.48
"Malatya, Elazig, Bingöl, Tunceli",11020.08,11884.4,12100.48,12748.72,12208.52,11992.44,12640.68,13072.84
"Van, Mus, Bitlis, Hakkari",7238.68,7670.84,7886.92,8319.08,8211.04,8211.04,8427.12,8211.04
"Gaziantep, Adiyaman, Kilis",11668.32,13072.84,12748.72,13288.92,13505.0,12964.8,13829.12,15773.84
"Sanliurfa, Diyarbakir",7778.88,8427.12,8319.08,8535.16,7994.96,7778.88,7670.84,7778.88
"Mardin, Batman, Sirnak, Siirt",9075.36,9399.48,9399.48,10371.84,10263.8,10263.8,10371.84,11128.12
